,Title,Runtime (mins),Year,Release Date,IMDb Rating,Num Votes,Rotten Tomatoes Rating,Metascore,Box Office
244,The Incredibles,115 min,2004,05 Nov 2004,8.0,"603,316",N/A,90,N/A
245,Napoleon Dynamite,96 min,2004,27 Aug 2004,6.9,"183,670",71%,64,"$44,478,018"
246,Shaun of the Dead,99 min,2004,24 Sep 2004,7.9,"469,921",92%,76,"$13,464,388"
247,Crash,112 min,2004,06 May 2005,7.8,"401,157",74%,69,"$55,382,847"
248,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143 min,2005,09 Dec 2005,6.9,"340,816",76%,75,"$291,685,219"
249,Harry Potter and the Goblet of Fire,157 min,2005,18 Nov 2005,7.7,"488,024",88%,81,"$289,994,397"
250,Cars,117 min,2006,09 Jun 2006,7.1,"329,641",74%,73,"$244,052,771"
251,Pan's Labyrinth,118 min,2006,19 Jan 2007,8.2,"573,036",95%,98,"$37,500,000"
252,Superman Returns,154 min,2006,28 Jun 2006,6.1,"260,483",75%,72,"$200,100,000"
253,Talladega Nights: The Ballad of Ricky Bobby,108 min,2006,04 Aug 2006,6.6,"154,304",71%,66,"$148,213,377"
254,X-Men: The Last Stand,104 min,2006,26 May 2006,6.7,"451,870",58%,58,"$234,300,000"
255,The Bourne Ultimatum,115 min,2007,03 Aug 2007,8.0,"579,967",92%,85,"$227,400,000"
256,Live Free or Die Hard,128 min,2007,27 Jun 2007,7.1,"371,308",82%,69,"$134,500,000"
257,No Country for Old Men,122 min,2007,21 Nov 2007,8.1,"769,382",93%,91,"$74,223,625"
258,Ratatouille,111 min,2007,29 Jun 2007,8.0,"580,664",96%,96,"$112,408,657"
259,Superbad,113 min,2007,17 Aug 2007,7.6,"484,102",87%,76,"$121,463,226"
260,There Will Be Blood,158 min,2007,25 Jan 2008,8.2,"464,064",91%,93,"$40,133,435"
261,Jumper,88 min,2008,14 Feb 2008,6.1,"272,381",15%,35,"$80,055,499"
262,Gran Torino,116 min,2008,09 Jan 2009,8.1,"670,888",80%,72,"$148,055,047"
263,The Incredible Hulk,112 min,2008,13 Jun 2008,6.7,"403,193",67%,61,"$134,518,390"
264,Pineapple Express,111 min,2008,06 Aug 2008,7.0,"293,630",N/A,64,N/A
265,RocknRolla,114 min,2008,31 Oct 2008,7.3,"219,936",60%,53,"$5,665,302"
266,Role Models,99 min,2008,07 Nov 2008,6.8,"211,347",77%,61,"$67,300,000"
267,Step Brothers,98 min,2008,25 Jul 2008,6.9,"247,075",55%,51,"$100,468,793"
268,Wanted,110 min,2008,27 Jun 2008,6.7,"340,231",71%,64,"$134,294,280"
269,District 9,112 min,2009,14 Aug 2009,7.9,"604,874",90%,81,"$115,646,235"
270,Harry Potter and the Half-Blood Prince,153 min,2009,15 Jul 2009,7.6,"420,163",84%,78,"$301,920,409"
271,Law Abiding Citizen,109 min,2009,16 Oct 2009,7.4,"252,849",26%,34,"$73,343,413"
272,Terminator Salvation,115 min,2009,21 May 2009,6.6,"320,418",33%,49,"$125,286,889"
273,Transformers: Revenge of the Fallen,150 min,2009,24 Jun 2009,6.0,"365,219",19%,35,"$402,076,689"
274,Watchmen,162 min,2009,06 Mar 2009,7.6,"453,498",64%,56,"$107,453,620"
275,Sherlock Holmes,128 min,2009,25 Dec 2009,7.6,"547,955",70%,57,"$208,711,166"
276,The A-Team,117 min,2010,11 Jun 2010,6.8,"235,002",48%,47,"$77,213,489"
277,Alice in Wonderland,108 min,2010,05 Mar 2010,6.5,"359,452",51%,53,"$319,323,000"
278,Black Swan,108 min,2010,17 Dec 2010,8.0,"648,572",85%,79,"$106,952,327"
279,The Book of Eli,118 min,2010,15 Jan 2010,6.9,"271,524",47%,53,"$94,800,000"
280,Clash of the Titans,106 min,2010,02 Apr 2010,5.8,"256,468",27%,39,"$163,100,000"
